@relation 'Linguistic Features'

@attribute Sentiment {Negative,Neutral,Positive}
@attribute nn numeric
@attribute nsubj numeric
@attribute ccomp numeric
@attribute det numeric
@attribute mark numeric
@attribute advmod numeric
@attribute advcl numeric
@attribute xcomp numeric
@attribute dobj numeric
@attribute dep numeric
@attribute partmod numeric
@attribute quantmod numeric
@attribute num numeric
@attribute prep_for numeric
@attribute amod numeric
@attribute prt numeric
@attribute prepc_for numeric
@attribute cop numeric
@attribute prep numeric
@attribute rcmod numeric
@attribute prep_of numeric
@attribute poss numeric
@attribute aux numeric
@attribute nsubjpass numeric
@attribute auxpass numeric
@attribute prep_to numeric
@attribute prepc_of numeric
@attribute conj_and numeric
@attribute pobj numeric
@attribute prep_with numeric
@attribute tmod numeric
@attribute neg numeric
@attribute number numeric
@attribute prep_towards numeric
@attribute complm numeric
@attribute prep_in numeric
@attribute predet numeric
@attribute conj_or numeric
@attribute prep_on numeric
@attribute prep_out numeric
@attribute attr numeric
@attribute prep_through numeric
@attribute prep_at numeric
@attribute prep_from numeric
@attribute prep_about numeric
@attribute parataxis numeric
@attribute infmod numeric
@attribute prep_as numeric
@attribute cc numeric
@attribute conj_but numeric
@attribute prep_into numeric
@attribute prepc_in numeric
@attribute prepc_about numeric
@attribute prep_after numeric
@attribute measure numeric
@attribute acomp numeric
@attribute prep_than numeric
@attribute prep_off numeric
@attribute prep_following numeric
@attribute expl numeric
@attribute prep_thanks_to numeric
@attribute prepc_after numeric
@attribute prep_till numeric
@attribute conj_just numeric
@attribute prep_like numeric
@attribute csubj numeric
@attribute prep_far_from numeric
@attribute prep_upon numeric
@attribute prepc_from numeric
@attribute iobj numeric
@attribute prep_across numeric
@attribute prep_up numeric
@attribute prepc_with numeric
@attribute prep_near numeric
@attribute prep_among numeric
@attribute prepc_at numeric
@attribute prep_before numeric
@attribute prepc_outside numeric
@attribute prep_inside numeric
@attribute agent numeric
@attribute conj_so numeric
@attribute prep_over numeric
@attribute prep_out_of numeric
@attribute prep_around numeric
@attribute prep_during numeric
@attribute prepc_to numeric
@attribute prep_down numeric
@attribute prep_since numeric
@attribute prep_en numeric
@attribute pcomp numeric
@attribute punct numeric
@attribute prep_without numeric
@attribute prep_by numeric
@attribute rel numeric
@attribute prepc_as numeric
@attribute prep_save numeric
@attribute prep_under numeric
@attribute prep_via numeric
@attribute prep_though numeric
@attribute prep_ahead_of numeric
@attribute prep_along numeric
@attribute prep_including numeric
@attribute prepc_around numeric
@attribute prep_onto numeric
@attribute prepc_than numeric
@attribute prep_in_front_of numeric
@attribute prepc_on numeric
@attribute prep_instead_of numeric
@attribute purpcl numeric
@attribute prep_until numeric
@attribute conj_negcc numeric
@attribute prepc_like numeric
@attribute prep_behind numeric
@attribute conj_plus numeric
@attribute appos numeric
@attribute prepc_without numeric
@attribute prepc_apart_from numeric
@attribute conj numeric
@attribute conj_edit numeric
@attribute prep_except numeric
@attribute prepc_instead_of numeric
@attribute prep_got numeric
@attribute conj_+ numeric
@attribute prep_between numeric
@attribute prep_next_to numeric
@attribute preconj numeric
@attribute prepc_before numeric
@attribute prepc_until numeric
@attribute prep_if numeric
@attribute prep_because numeric
@attribute prepc_off numeric
@attribute prep_despite numeric
@attribute prepc_out_of numeric
@attribute prep_against numeric
@attribute prep_due_to numeric
@attribute prepc_while numeric
@attribute prepc_recommend numeric
@attribute prep_toward numeric
@attribute prep_love numeric
@attribute prepc_by numeric
@attribute prep_outside numeric
@attribute prep_based_on numeric
@attribute prep_worth numeric
@attribute prep_away_from numeric
@attribute prep_beside numeric
@attribute prepc_along numeric
@attribute prepc_out numeric
@attribute prep_next numeric
@attribute conj_only numeric
@attribute prep_along_with numeric
@attribute prep_starting numeric
@attribute prep_compared_to numeric
@attribute prep_amongst numeric
@attribute prepc_aside_from numeric
@attribute conj_times numeric
@attribute prep_below numeric
@attribute prep_beneath numeric
@attribute prepc_near numeric
@attribute prep_per numeric
@attribute prep_according_to numeric
@attribute conj_as numeric
@attribute prep_such_as numeric
@attribute prepc_ahead_of numeric
@attribute prepc_because_of numeric
@attribute prep_aboard numeric
@attribute prepc_following numeric
@attribute prep_within numeric
@attribute prepc_into numeric
@attribute prep_followed_by numeric
@attribute prep_above numeric
@attribute prep_past numeric
@attribute prep_beyond numeric
@attribute prepc_upon numeric
@attribute prepc_over numeric
@attribute 'prep_ok,' numeric
@attribute conj_vs numeric
@attribute prep_close_to numeric
@attribute conj_:) numeric
@attribute prep_pass numeric
@attribute prep_while numeric
@attribute prep_off_of numeric
@attribute prep_because_of numeric
@attribute prepc_despite numeric
@attribute prep_although numeric
@attribute 'conj_\'n\'' numeric
@attribute prep_as_for numeric
@attribute prepc_away_from numeric
@attribute conj_yet numeric
@attribute prepc_against numeric
@attribute prepc_through numeric
@attribute prepc_beside numeric
@attribute prep_apart_from numeric
@attribute prep_ice numeric
@attribute csubjpass numeric
@attribute prepc_but numeric
@attribute prepc_except numeric
@attribute prep_excited numeric
@attribute prep_vs. numeric
@attribute prepc_far_from numeric
@attribute prep_considering numeric
@attribute conj_v. numeric
@attribute prep_on_top_of numeric
@attribute prep_beginning numeric
@attribute prepc_up numeric
@attribute prepc_in_front_of numeric
@attribute prep_across_from numeric
@attribute prepc_past numeric
@attribute prepc_depending_on numeric
@attribute prepc_towards numeric
@attribute prep_on_behalf_of numeric
@attribute prepc_behind numeric
@attribute prep_but numeric
@attribute conj_nor numeric
@attribute prep_de numeric
@attribute prepc_thanks_to numeric
@attribute prep_as_of numeric
@attribute prep_besides numeric
@attribute conj_and/or numeric
@attribute prep_except_for numeric
@attribute prep_alongside numeric
@attribute prep_due numeric
@attribute prepc_worth numeric
@attribute prepc_regarding numeric
@attribute prepc_due_to numeric
@attribute prepc_since numeric
@attribute prepc_besides numeric
@attribute prepc_throughout numeric
@attribute conj_vs. numeric
@attribute prep_inside_of numeric
@attribute prepc_as_to numeric
@attribute prepc_during numeric
@attribute prep_according numeric
@attribute prep_hoop numeric
@attribute prep_unlike numeric
@attribute prepc_onto numeric
@attribute prepc_versus numeric
@attribute conj_minus numeric
@attribute prep_near_to numeric
@attribute prepc_on_top_of numeric
@attribute prep_drank numeric
@attribute prep_regardless_of numeric
@attribute prepc_close_to numeric
@attribute prep_in_case_of numeric
@attribute conj_season numeric
@attribute prepc_next numeric
@attribute prepc_inside numeric
@attribute prepc_starting numeric
@attribute prepc_such_as numeric
@attribute prep_oh numeric
@attribute prep_v. numeric
@attribute prepc_except_for numeric
@attribute prep_okay numeric
@attribute prep_throughout numeric
@attribute prep_together_with numeric
@attribute prepc_prior_to numeric
@attribute prep_regarding numeric
@attribute prep_aside_from numeric
@attribute prep_+ numeric
@attribute prep_memorial numeric
@attribute prepc_till numeric
@attribute prepc_off_of numeric

@data
Positive,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negative,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Positive,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
